Region,Skilled_ANC,TFR,Care_Efficiency_Index,Adolescent_Fertility
..Northeast,95.6,6.6,14.485,121.0
Ahafo,95.578,4.911,20.156,102.111
Ashanti,96.378,4.378,22.983,85.667
Bono,98.6,3.7,26.649,36.0
Central,92.789,4.811,20.113,109.889
Eastern,93.944,4.222,23.156,89.556
Greater Accra,95.611,3.1,31.897,46.444
Northern,85.122,5.822,14.832,87.778
Oti,97.1,5.2,18.673,73.0
Savannah,95.9,5.8,16.534,116.0
Upper East,93.629,4.471,21.015,67.571
Upper West,92.9,4.957,19.138,67.286
Volta,90.4,4.622,20.435,88.111
Western,94.2,4.478,21.771,91.778
